Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Borehole,2036.7,subsurface,36.78,0,24.56,0.41,,0,5.51,144.68
DELOS Borehole,2030,subsurface,86.96,0,31.65,0.37,,0,4.66,231.12
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,54.63,0,22.82,0.33,,0,3.73,106.43
DELOS Borehole,2067,subsurface,10.68,0,14.33,0.33,,0,1.45,18.42
DELOS Borehole,2036.7,subsurface,55.72,0,23.19,0.39,,0,4.5,128.06
DELOS Borehole,2065,subsurface,30.26,0,25.15,0.37,,0,4.05,80.92
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,30.21,0,25.29,0.36,,0,4.69,132.02
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,55.33,0,23.43,0.41,,0,4.78,133.45
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,60.92,0,24.89,0.5,,0,,
DELOS Borehole,2043,subsurface,69.62,0,28.77,0.53,,0,,
DELOS Borehole,2067,subsurface,,,,,,0,,
DELOS Borehole,2043,subsurface,102.68,0,30.79,0.56,,0,,
DELOS Borehole,2043,subsurface,,,,,,0,,
DELOS Borehole,2043,subsurface,16.37,0,23.86,0.42,,0,,
DELOS Gneiss Fracture,440,subsurface,27.94,1.42,2.72,5.74,30,0,0.34,31.52
