Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Borehole,2023.3,subsurface,60.84,0,23.8,0.48,,0,4.59,144.42
DELOS Borehole,2030,subsurface,17.86,0.25,14.01,0.83,,0,1.83,42.08
DELOS Borehole,2030,subsurface,80.37,0,24.67,0.34,,0,4.24,193
DELOS Borehole,2030,subsurface,150.52,0.24,35.34,0.55,,0,8.01,417.05
DELOS Borehole,2043,subsurface,98.52,0,29.08,0.64,,0,7.56,235.61
DELOS Borehole,2067,subsurface,9.41,0,14.54,0.61,,0,1.72,20.88
DELOS Borehole,2065,subsurface,45.53,0,25.54,0.47,,0,4.93,119.87
DELOS Borehole,2043,subsurface,65.65,0,27.47,0.53,,0,6.66,164.93
DELOS Borehole,2030,subsurface,94.42,0.25,27.78,0.78,,0,4.9,225.11
DELOS Borehole,2030,subsurface,27.51,0,25.57,0.38,,0,3,85.4
DELOS Borehole,2030,subsurface,82.28,0,35.8,0.44,,0,5.07,212.09
DELOS Borehole,2043,subsurface,55.4,0,25.61,0.61,,0,5.77,138.98
DELOS Borehole,2043,subsurface,14.55,0,22.59,0.41,,0,3.59,46.46
DELOS Borehole,2065,subsurface,45.29,0,25.64,0.42,,0,5.02,120.5
DELOS Borehole,2030,subsurface,80.28,0,35.57,0.42,,0,4.94,211.16
DELOS Borehole,2030,subsurface,11.83,0,11.8,0.23,,0,0.43,20.44
DELOS Borehole,2030,subsurface,73.9,0,32.79,0.44,,0,4.59,192.86
DELOS Borehole,2030,subsurface,75.43,0,33.29,0.44,,0,4.6,197.03
DELOS Borehole,2030,subsurface,77.51,0,33.75,0.44,,0,4.59,201.58
DELOS Borehole,2030,subsurface,81.21,0,34.66,0.44,,0,4.88,207.29
DELOS Borehole,2030,subsurface,82.2,0,34.63,0.44,,0,4.86,210.78
DELOS Borehole,2030,subsurface,83.25,0,34.74,0.45,,0,4.92,213.62
DELOS Borehole,2030,subsurface,84.35,0,35.27,0.5,,0,4.96,214.7
DELOS Borehole,2030,subsurface,85.41,0,35.16,0.46,,0,4.99,215.78
DELOS Borehole,2030,subsurface,86,0,35.54,0.45,,0,5.01,217.83
DELOS Borehole,2065,subsurface,47.02,0,26.01,0.43,,0,4.95,121.97
DELOS Borehole,2065,subsurface,47.55,0,26.41,0.42,,0,5.05,123.53
DELOS Borehole,2036.7,subsurface,64.53,0,23.94,0.46,,0,5.38,157.75
DELOS Borehole,2065,subsurface,48.3,0,25.86,0.43,,0,5,127.83
DELOS Borehole,2023.3,subsurface,58.59,0,23.16,0.52,,0,4.41,142.6
DELOS Borehole,2030,subsurface,74.04,0,22.03,0.37,,0,3.52,183.62
DELOS Borehole,2030,subsurface,74.64,0,22.19,0.35,,0,3.56,185.35
DELOS Borehole,2030,subsurface,76.06,0,22.18,0.37,,0,3.65,186
DELOS Borehole,2030,subsurface,76.62,0.27,22.2,0.36,,0,3.79,187.17
DELOS Borehole,2030,subsurface,74.92,0,22.26,0.35,,0,3.69,187.3
DELOS Borehole,2030,subsurface,37.07,0,24.44,0.43,,0,2.97,107.43
